game_id,play_id,coverage
2018090600,75,Cover 3 Zone
2018090600,146,Cover 3 Zone
2018090600,168,Cover 3 Zone
2018090600,190,Cover 3 Zone
2018090600,256,Red Zone
2018090600,320,3 Seam
2018090600,344,3 Seam
2018090600,402,Cover 3 Zone
2018090600,445,Cover 3 Zone
2018090600,492,Cover 3 Zone
2018090600,521,Cover 3 Zone
2018090600,545,Cover 1 Man
2018090600,606,Red Zone
2018090600,636,Red Zone
2018090600,752,Cover 3 Zone
2018090600,776,Cover 3 Zone
2018090600,839,Cover 3 Zone
2018090600,889,Cover 3 Zone
2018090600,949,Cover 3 Zone
2018090600,992,Cover 3 Zone
2018090600,1037,Cover 2 Man
2018090600,1061,3 Seam
2018090600,1085,Cover 3 Zone
2018090600,1202,Cover 3 Zone
2018090600,1226,Cover 1 Man
2018090600,1295,Cover 1 Man
2018090600,1344,Cover 3 Zone
2018090600,1423,3 Seam
2018090600,1473,Cover 2 Zone
2018090600,1508,Cover 3 Zone
2018090600,1546,Cover 3 Zone
2018090600,1568,Cover 1 Man
2018090600,1628,3 Seam
2018090600,1680,Cover 3 Zone
2018090600,1715,Cover 2 Man
2018090600,1750,Cover 3 Zone
2018090600,1779,3 Seam
2018090600,1801,Cover 1 Man
2018090600,1869,Cover 3 Zone
2018090600,1894,Cover 2 Zone
2018090600,1916,Cover 4 Zone
2018090600,1940,Cover 1 Man
2018090600,2032,Cover 3 Zone
2018090600,2055,Cover 3 Zone
2018090600,2094,Cover 2 Man
2018090600,2116,Cover 3 Zone
2018090600,2260,Cover 3 Zone
2018090600,2305,Cover 1 Man
2018090600,2360,Cover 3 Zone
2018090600,2382,Cover 3 Zone
2018090600,2450,Cover 1 Man
2018090600,2474,Cover 3 Zone
2018090600,2503,Cover 1 Man
2018090600,2575,Cover 3 Zone
2018090600,2624,Cover 3 Zone
2018090600,2648,Cover 3 Zone
2018090600,2693,Cover 3 Zone
2018090600,2736,Cover 1 Man
2018090600,2764,Cover 6 Zone
2018090600,2811,Cover 3 Zone
2018090600,2980,Cover 2 Zone
2018090600,3004,Cover 1 Man
2018090600,3066,Cover 3 Zone
2018090600,3095,Cover 3 Zone
2018090600,3181,Mis
2018090600,3203,Cover 3 Zone
2018090600,3257,Cover 0 Man
2018090600,3279,Cover 2 Zone
2018090600,3320,Cover 2 Zone
2018090600,3392,Cover 0 Man
2018090600,3481,Cover 3 Zone
2018090600,3507,Cover 2 Zone
2018090600,3626,Cover 2 Zone
2018090600,3678,Cover 3 Zone
2018090600,3791,Cover 3 Zone
2018090600,3815,Cover 3 Zone
2018090600,3844,Cover 3 Zone
2018090600,3904,Cover 3 Zone
2018090600,3928,Cover 3 Zone
2018090600,3950,Cover 3 Zone
2018090600,3979,Cover 3 Zone
2018090600,4142,Cover 3 Zone
2018090600,4166,Cover 3 Zone
2018090600,4207,Cover 3 Zone
2018090600,4239,Cover 1 Man
2018090600,4258,Cover 3 Zone
2018090600,4282,Cover 1 Man
2018090600,4306,Cover 1 Man
2018090600,4325,Cover 1 Man
2018090600,4366,Cover 1 Double
2018090600,4395,Red Zone
2018090600,4417,Red Zone
2018090600,4439,Red Zone
2018090600,4472,Red Zone
2018090900,71,Cover 4 Zone
2018090900,95,Cover 3 Zone
2018090900,186,Cover 4 Zone
2018090900,210,Cover 4 Zone
2018090900,232,Cover 4 Zone
2018090900,313,Cover 4 Zone
2018090900,444,Cover 3 Zone
2018090900,466,Cover 3 Zone
2018090900,531,Cover 6 Zone
2018090900,553,Cover 3 Zone
2018090900,600,Cover 4 Zone
2018090900,622,Cover 3 Zone
2018090900,646,Cover 3 Zone
2018090900,720,Cover 3 Zone
2018090900,742,3 Seam
2018090900,775,Cover 4 Zone
2018090900,797,Cover 3 Zone
2018090900,853,Cover 4 Zone
2018090900,877,Cover 2 Zone
2018090900,901,Cover 3 Zone
2018090900,925,Red Zone
2018090900,947,Cover 3 Zone
2018090900,1035,Cover 3 Zone
2018090900,1161,Cover 6 Zone
2018090900,1204,Cover 2 Zone
2018090900,1260,Cover 2 Zone
2018090900,1316,Cover 1 Man
2018090900,1338,Cover 3 Zone
2018090900,1385,Cover 3 Zone
2018090900,1425,Cover 2 Zone
2018090900,1551,Cover 4 Zone
2018090900,1594,3 Seam
2018090900,1656,Cover 4 Zone
2018090900,1689,Cover 2 Zone
2018090900,1713,Cover 6 Zone
2018090900,1737,Cover 2 Zone
2018090900,1823,3 Seam
2018090900,1847,3 Seam
2018090900,1869,Cover 3 Zone
